,id,day,wind_speed,temperature,bucket_volume,water_volume,height,diameter,surface_area
0,0.0,0.0,0.5,50.0,3558.394034126858,3558.394034126858,10.0,4.0,12.566370614359172
1,0.0,1.0,1.0,50.0,3558.394034126858,3554.319722879095,10.0,4.0,12.566370614359172
2,0.0,2.0,0.5,50.0,3558.394034126858,3551.946979303097,10.0,4.0,12.566370614359172
3,0.0,3.0,1.0,50.0,3558.394034126858,3547.872668055334,10.0,4.0,12.566370614359172
4,0.0,4.0,2.0,40.0,3558.394034126858,3542.9816402725532,10.0,4.0,12.566370614359172
5,0.0,5.0,2.0,70.0,3558.394034126858,3529.2522521567616,10.0,4.0,12.566370614359172
6,0.0,6.0,1.0,40.0,3558.394034126858,3526.403879991284,10.0,4.0,12.566370614359172
7,0.0,7.0,0.0,80.0,3558.394034126858,3526.403879991284,10.0,4.0,12.566370614359172
8,0.0,8.0,1.0,40.0,3558.394034126858,3523.5555078258067,10.0,4.0,12.566370614359172
9,0.0,9.0,2.0,40.0,3558.394034126858,3518.664480043026,10.0,4.0,12.566370614359172
10,0.0,10.0,1.5,70.0,3558.394034126858,3507.694673524749,10.0,4.0,12.566370614359172
11,1.0,0.0,2.0,50.0,3558.394034126858,3558.394034126858,10.0,4.0,12.566370614359172
12,1.0,1.0,1.5,40.0,3558.394034126858,3554.486093874888,10.0,4.0,12.566370614359172
13,1.0,2.0,1.0,40.0,3558.394034126858,3551.6377217094105,10.0,4.0,12.566370614359172
14,1.0,3.0,2.0,40.0,3558.394034126858,3546.7466939266296,10.0,4.0,12.566370614359172
15,1.0,4.0,0.5,80.0,3558.394034126858,3540.376416606445,10.0,4.0,12.566370614359172
16,1.0,5.0,0.0,40.0,3558.394034126858,3540.376416606445,10.0,4.0,12.566370614359172
17,1.0,6.0,0.5,60.0,3558.394034126858,3537.029509794387,10.0,4.0,12.566370614359172
18,1.0,7.0,0.0,40.0,3558.394034126858,3537.029509794387,10.0,4.0,12.566370614359172
19,1.0,8.0,0.5,80.0,3558.394034126858,3530.659232474203,10.0,4.0,12.566370614359172
20,1.0,9.0,1.5,70.0,3558.394034126858,3519.689425955926,10.0,4.0,12.566370614359172
21,1.0,10.0,2.0,40.0,3558.394034126858,3514.798398173145,10.0,4.0,12.566370614359172
22,2.0,0.0,0.0,80.0,3558.394034126858,3558.394034126858,10.0,4.0,12.566370614359172
23,2.0,1.0,0.5,50.0,3558.394034126858,3556.02129055086,10.0,4.0,12.566370614359172
24,2.0,2.0,1.0,70.0,3558.394034126858,3548.0257508207983,10.0,4.0,12.566370614359172
25,2.0,3.0,2.0,60.0,3558.394034126858,3538.157267448481,10.0,4.0,12.566370614359172
26,2.0,4.0,1.5,80.0,3558.394034126858,3523.149609673737,10.0,4.0,12.566370614359172
27,2.0,5.0,1.0,70.0,3558.394034126858,3515.154069943675,10.0,4.0,12.566370614359172
28,2.0,6.0,1.5,70.0,3558.394034126858,3504.184263425398,10.0,4.0,12.566370614359172
29,2.0,7.0,1.5,70.0,3558.394034126858,3493.214456907121,10.0,4.0,12.566370614359172
30,2.0,8.0,0.5,40.0,3558.394034126858,3491.5556595431744,10.0,4.0,12.566370614359172
31,2.0,9.0,1.0,50.0,3558.394034126858,3487.4813482954114,10.0,4.0,12.566370614359172
32,2.0,10.0,0.0,80.0,3558.394034126858,3487.4813482954114,10.0,4.0,12.566370614359172
33,3.0,0.0,0.5,40.0,3558.394034126858,3558.394034126858,10.0,4.0,12.566370614359172
34,3.0,1.0,1.0,80.0,3558.394034126858,3547.4554342715905,10.0,4.0,12.566370614359172
35,3.0,2.0,0.5,40.0,3558.394034126858,3545.796636907644,10.0,4.0,12.566370614359172
36,3.0,3.0,0.5,60.0,3558.394034126858,3542.449730095586,10.0,4.0,12.566370614359172
37,3.0,4.0,0.5,40.0,3558.394034126858,3540.7909327316393,10.0,4.0,12.566370614359172
38,3.0,5.0,0.5,50.0,3558.394034126858,3538.4181891556414,10.0,4.0,12.566370614359172
39,3.0,6.0,2.0,70.0,3558.394034126858,3524.6888010398497,10.0,4.0,12.566370614359172
40,3.0,7.0,1.0,80.0,3558.394034126858,3513.7502011845822,10.0,4.0,12.566370614359172
41,3.0,8.0,0.5,60.0,3558.394034126858,3510.403294372524,10.0,4.0,12.566370614359172
42,3.0,9.0,2.0,60.0,3558.394034126858,3500.534811000207,10.0,4.0,12.566370614359172
43,3.0,10.0,0.5,80.0,3558.394034126858,3494.1645336800225,10.0,4.0,12.566370614359172
44,4.0,0.0,1.0,40.0,3558.394034126858,3558.394034126858,10.0,4.0,12.566370614359172
45,4.0,1.0,0.5,40.0,3558.394034126858,3556.7352367629114,10.0,4.0,12.566370614359172
46,4.0,2.0,1.5,60.0,3558.394034126858,3548.8503002813914,10.0,4.0,12.566370614359172
47,4.0,3.0,1.5,60.0,3558.394034126858,3540.9653637998713,10.0,4.0,12.566370614359172
48,4.0,4.0,0.0,60.0,3558.394034126858,3540.9653637998713,10.0,4.0,12.566370614359172
49,4.0,5.0,2.0,50.0,3558.394034126858,3533.969238170633,10.0,4.0,12.566370614359172
50,4.0,6.0,0.0,50.0,3558.394034126858,3533.969238170633,10.0,4.0,12.566370614359172
51,4.0,7.0,0.5,80.0,3558.394034126858,3527.5989608504487,10.0,4.0,12.566370614359172
52,4.0,8.0,0.0,80.0,3558.394034126858,3527.5989608504487,10.0,4.0,12.566370614359172
53,4.0,9.0,1.0,70.0,3558.394034126858,3519.603421120387,10.0,4.0,12.566370614359172
54,4.0,10.0,1.5,80.0,3558.394034126858,3504.595763345643,10.0,4.0,12.566370614359172
55,5.0,0.0,0.0,70.0,3558.394034126858,3558.394034126858,10.0,4.0,12.566370614359172
56,5.0,1.0,1.0,70.0,3558.394034126858,3550.398494396796,10.0,4.0,12.566370614359172
57,5.0,2.0,2.0,80.0,3558.394034126858,3531.615486879285,10.0,4.0,12.566370614359172
58,5.0,3.0,2.0,80.0,3558.394034126858,3512.832479361774,10.0,4.0,12.566370614359172
59,5.0,4.0,1.5,80.0,3558.394034126858,3497.82482158703,10.0,4.0,12.566370614359172
60,5.0,5.0,0.5,70.0,3558.394034126858,3493.168484754257,10.0,4.0,12.566370614359172
61,5.0,6.0,0.0,50.0,3558.394034126858,3493.168484754257,10.0,4.0,12.566370614359172
62,5.0,7.0,0.0,50.0,3558.394034126858,3493.168484754257,10.0,4.0,12.566370614359172
63,5.0,8.0,1.0,50.0,3558.394034126858,3489.094173506494,10.0,4.0,12.566370614359172
64,5.0,9.0,1.5,60.0,3558.394034126858,3481.209237024974,10.0,4.0,12.566370614359172
65,5.0,10.0,1.0,80.0,3558.394034126858,3470.2706371697063,10.0,4.0,12.566370614359172
66,6.0,0.0,0.0,50.0,3558.394034126858,3558.394034126858,10.0,4.0,12.566370614359172
67,6.0,1.0,0.5,70.0,3558.394034126858,3553.737697294085,10.0,4.0,12.566370614359172
68,6.0,2.0,2.0,60.0,3558.394034126858,3543.869213921768,10.0,4.0,12.566370614359172
69,6.0,3.0,0.0,40.0,3558.394034126858,3543.869213921768,10.0,4.0,12.566370614359172
70,6.0,4.0,0.5,60.0,3558.394034126858,3540.52230710971,10.0,4.0,12.566370614359172
71,6.0,5.0,0.0,40.0,3558.394034126858,3540.52230710971,10.0,4.0,12.566370614359172
72,6.0,6.0,1.5,40.0,3558.394034126858,3536.6143668577397,10.0,4.0,12.566370614359172
73,6.0,7.0,0.5,40.0,3558.394034126858,3534.955569493793,10.0,4.0,12.566370614359172
74,6.0,8.0,1.0,60.0,3558.394034126858,3529.208492478171,10.0,4.0,12.566370614359172
75,6.0,9.0,1.0,40.0,3558.394034126858,3526.3601203126937,10.0,4.0,12.566370614359172
76,6.0,10.0,0.5,50.0,3558.394034126858,3523.9873767366958,10.0,4.0,12.566370614359172
77,7.0,0.0,2.0,70.0,3558.394034126858,3558.394034126858,10.0,4.0,12.566370614359172
78,7.0,1.0,0.0,80.0,3558.394034126858,3558.394034126858,10.0,4.0,12.566370614359172
79,7.0,2.0,0.0,70.0,3558.394034126858,3558.394034126858,10.0,4.0,12.566370614359172
