,Unnamed: 0,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,interventions,n_days,pop_type,use_waning
865,25,91.0,130.0,173.0,186.0,190.0,190.0,0.0,64.0,99.0,116.0,121.0,122.0,0.0,3.0,6.0,8.0,9.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25100.0,49933.0,50127.0,50128.0,50128.0,50128.0,14,50128.509455645,91.6238101923775,China,moderna,35,hybrid,True
1416,6,94.0,132.0,172.0,179.0,183.0,183.0,0.0,61.0,87.0,111.0,115.0,116.0,0.0,1.0,4.0,4.0,5.0,5.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,40529.0,50763.0,50763.0,50763.0,50763.0,50763.0,14,50763.89172781857,94.32470499607496,France,pfizer,35,hybrid,True
493,13,100.0,158.0,204.0,229.0,247.0,252.0,0.0,69.0,110.0,137.0,154.0,158.0,0.0,3.0,9.0,14.0,17.0,17.0,0.0,2.0,6.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,49904.0,49904.0,49904.0,49904.0,49904.0,49904.0,14,49904.16105332114,100.79498831914596,Japan,moderna,35,hybrid,True
1178,8,96.0,186.0,350.0,515.0,692.0,776.0,0.0,63.0,156.0,262.0,372.0,455.0,0.0,0.0,9.0,19.0,28.0,36.0,0.0,0.0,4.0,6.0,9.0,12.0,0.0,0.0,0.0,1.0,3.0,4.0,50210.0,50210.0,50210.0,50210.0,50210.0,50210.0,14,50210.16071623414,96.10477445076984,Japan,az,35,hybrid,True
1314,24,104.0,289.0,761.0,1744.0,3547.0,7011.0,0.0,73.0,267.0,658.0,1442.0,2927.0,0.0,0.0,8.0,33.0,86.0,189.0,0.0,0.0,3.0,10.0,21.0,51.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49755.53491663295,104.91218343602756,Japan,none,35,hybrid,True
800,20,99.0,124.0,140.0,149.0,152.0,153.0,0.0,60.0,83.0,94.0,97.0,98.0,0.0,1.0,4.0,7.0,8.0,9.0,0.0,1.0,3.0,4.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,49243.0,49243.0,49243.0,49243.0,49243.0,49243.0,14,49243.71139577163,99.74778186867265,Japan,moderna,35,hybrid,True
40,10,99.0,127.0,152.0,166.0,167.0,168.0,0.0,62.0,94.0,105.0,112.0,113.0,0.0,0.0,3.0,8.0,10.0,10.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,49985.0,49985.0,49985.0,49985.0,49985.0,49985.0,14,49985.91324401598,99.46531903528498,Japan,pfizer,35,hybrid,True
374,14,98.0,208.0,463.0,1039.0,2265.0,4575.0,0.0,65.0,179.0,401.0,834.0,1855.0,0.0,2.0,10.0,23.0,38.0,93.0,0.0,1.0,5.0,9.0,14.0,28.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14,51074.20002609812,98.47468271854748,France,none,35,hybrid,True
1172,2,96.0,153.0,265.0,419.0,565.0,670.0,0.0,69.0,129.0,203.0,304.0,389.0,0.0,3.0,9.0,15.0,21.0,32.0,0.0,1.0,3.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,2.0,4.0,50210.0,50210.0,50210.0,50210.0,50210.0,50210.0,14,50210.16071623414,96.10477445076984,Japan,az,35,hybrid,True
1086,6,95.0,136.0,182.0,198.0,207.0,210.0,0.0,55.0,94.0,115.0,123.0,127.0,0.0,2.0,6.0,8.0,9.0,9.0,0.0,1.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,50201.0,50201.0,50201.0,50201.0,50201.0,50201.0,14,50201.95375841179,95.3929475480306,Japan,pfizer,35,hybrid,True
