,Unnamed: 0,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,interventions,n_days,pop_type,use_waning
397,7,96.0,143.0,181.0,192.0,201.0,201.0,0.0,49.0,85.0,98.0,103.0,105.0,0.0,0.0,2.0,4.0,6.0,7.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,25435.0,50107.0,50305.0,50307.0,50307.0,50307.0,14,50307.4916033199,96.84873311265744,China,pfizer,35,hybrid,True
730,10,88.0,114.0,149.0,164.0,165.0,165.0,0.0,60.0,80.0,97.0,101.0,101.0,0.0,0.0,3.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25497.0,50882.0,51088.0,51088.0,51088.0,51088.0,14,51088.166094093074,88.94027363346837,China,pfizer,35,hybrid,True
808,28,99.0,133.0,171.0,186.0,194.0,199.0,0.0,54.0,89.0,107.0,114.0,118.0,0.0,0.0,3.0,7.0,8.0,8.0,0.0,0.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,49243.0,49243.0,49243.0,49243.0,49243.0,49243.0,14,49243.71139577163,99.74778186867265,Japan,moderna,35,hybrid,True
476,26,90.0,173.0,280.0,361.0,421.0,457.0,0.0,67.0,141.0,209.0,255.0,292.0,0.0,1.0,5.0,9.0,15.0,19.0,0.0,0.0,3.0,4.0,6.0,9.0,0.0,0.0,0.0,0.0,2.0,2.0,39672.0,49719.0,49719.0,49719.0,49719.0,49719.0,14,49719.446407232535,90.6910120650291,France,az,35,hybrid,True
348,18,95.0,128.0,156.0,172.0,176.0,176.0,0.0,64.0,94.0,106.0,111.0,112.0,0.0,1.0,6.0,11.0,11.0,12.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,48570.0,48570.0,48570.0,48570.0,48570.0,48570.0,14,48570.25146506496,95.2205948554948,UK,pfizer,35,hybrid,True
427,7,104.0,184.0,330.0,494.0,625.0,706.0,0.0,58.0,148.0,242.0,351.0,428.0,0.0,0.0,9.0,21.0,33.0,42.0,0.0,0.0,4.0,9.0,9.0,13.0,0.0,0.0,0.0,1.0,3.0,3.0,50118.0,50118.0,50118.0,50118.0,50118.0,50118.0,14,50118.11080239527,104.58361811850742,Japan,az,35,hybrid,True
1013,23,95.0,181.0,326.0,472.0,586.0,641.0,0.0,60.0,134.0,228.0,320.0,377.0,0.0,0.0,6.0,8.0,15.0,28.0,0.0,0.0,2.0,3.0,3.0,6.0,0.0,0.0,0.0,1.0,2.0,2.0,48433.0,48433.0,48433.0,48433.0,48433.0,48433.0,14,48433.62597969629,95.206665792963,Japan,az,35,hybrid,True
446,26,104.0,194.0,330.0,464.0,585.0,650.0,0.0,64.0,148.0,230.0,324.0,383.0,0.0,4.0,13.0,21.0,29.0,34.0,0.0,2.0,8.0,10.0,11.0,12.0,0.0,0.0,1.0,4.0,6.0,8.0,50118.0,50118.0,50118.0,50118.0,50118.0,50118.0,14,50118.11080239527,104.58361811850742,Japan,az,35,hybrid,True
160,10,96.0,155.0,267.0,394.0,507.0,575.0,0.0,56.0,111.0,179.0,253.0,325.0,0.0,1.0,8.0,11.0,20.0,32.0,0.0,0.0,2.0,4.0,7.0,11.0,0.0,0.0,0.0,1.0,2.0,3.0,49518.0,49518.0,49518.0,49518.0,49518.0,49518.0,14,49518.679714966514,96.72779348304503,Japan,az,35,hybrid,True
191,11,88.0,122.0,164.0,181.0,184.0,185.0,0.0,60.0,96.0,116.0,127.0,127.0,0.0,0.0,4.0,7.0,7.0,7.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,52144.0,52144.0,52144.0,52144.0,52144.0,52144.0,14,52144.95033726947,88.71070835884908,UK,pfizer,35,hybrid,True
971,11,97.0,224.0,455.0,735.0,988.0,1194.0,0.0,60.0,169.0,331.0,510.0,639.0,0.0,1.0,9.0,14.0,34.0,43.0,0.0,1.0,3.0,3.0,6.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,25215.0,49990.0,50208.0,50211.0,50211.0,50211.0,14,50211.60882661644,97.27296188254326,China,az,35,hybrid,True
1002,12,95.0,179.0,343.0,530.0,693.0,809.0,0.0,59.0,140.0,248.0,359.0,460.0,0.0,1.0,7.0,14.0,25.0,35.0,0.0,0.0,1.0,2.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,48433.0,48433.0,48433.0,48433.0,48433.0,48433.0,14,48433.62597969629,95.206665792963,Japan,az,35,hybrid,True
963,3,97.0,201.0,416.0,708.0,979.0,1201.0,0.0,74.0,177.0,311.0,479.0,632.0,0.0,1.0,6.0,10.0,24.0,31.0,0.0,1.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,25093.0,50019.0,50210.0,50211.0,50211.0,50211.0,14,50211.60882661644,97.27296188254326,China,az,35,hybrid,True
125,5,98.0,232.0,535.0,1261.0,2698.0,5976.0,0.0,54.0,165.0,412.0,968.0,2231.0,0.0,0.0,4.0,13.0,38.0,76.0,0.0,0.0,0.0,1.0,7.0,16.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14,48877.15583154997,98.24847085902476,China,none,35,hybrid,True
354,24,95.0,132.0,165.0,174.0,181.0,185.0,0.0,64.0,88.0,96.0,101.0,104.0,0.0,0.0,2.0,3.0,6.0,6.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,48570.0,48570.0,48570.0,48570.0,48570.0,48570.0,14,48570.25146506496,95.2205948554948,UK,pfizer,35,hybrid,True
480,0,100.0,135.0,172.0,185.0,192.0,194.0,0.0,55.0,100.0,111.0,116.0,120.0,0.0,1.0,6.0,11.0,12.0,13.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,49904.0,49904.0,49904.0,49904.0,49904.0,49904.0,14,49904.16105332114,100.79498831914596,Japan,moderna,35,hybrid,True
